target_name	program_name	log2FC	p-value	adj_pval
Gsta2_2	8	-0.004217743072330584	0.5076870940640588	0.6718366931433736
Gusb	8	0.000910860198815869	0.8012683995921837	0.7591004044539242
Hamp	8	-0.010331825973885336	0.3403202905882923	0.5921829110578325
Hfe	8	0.020611792418220122	0.3687046808935362	0.6055516819745613
Hmgcr	8	0.028853289306240034	0.09123637105090171	0.34681623095477626
Hsd17b13	8	-0.03534076918641073	0.025635786395413994	0.17801004948988064
Hsd3b2	8	-0.02622510157267907	0.14125739566204068	0.4191083578338237
Hspa5	8	0.003467967639028207	0.748660915941769	0.7494139782133998
Ift172	8	0.005097817979610883	0.8254674234144228	0.7647241376671158
Igf1_1	8	-0.014655460908790023	0.19676701160984253	0.47811759694722233
Igf1_2	8	0.012080573458987085	0.7168578018019736	0.7415992892380816
Ikbkb	8	0.04516814587869153	0.01066114374323196	0.10507127004169814
Ilrun	8	0.03594744927190201	0.10744154241380216	0.37204788645258435
Insig1	8	0.052172471319311055	0.013860866788647282	0.12387176990882387
Insr	8	0.04044982315632206	0.026470647964954432	0.1804010451180397
Ip6k1	8	-0.015223331541623962	0.1680304130455183	0.4514042769246523
Irs1	8	-0.001132086985482565	0.5925049171840523	0.7037455084240223
Irs2	8	0.021997390825033648	0.4010834977068539	0.6225332578408033
Jund	8	-0.01465553887139179	0.13826767608960974	0.4165192809371305
Lcat	8	0.011166054085604166	0.7935540995632377	0.7576006507691168
Ldlr	8	0.006153018857593118	0.8658557916358354	0.7736785561616256
Leng1	8	0.03142278940795907	0.13224962008920987	0.4076789700083756
Leng8	8	-0.007471567053533502	0.3390752479039275	0.5916805737478483
Lipa	8	-0.027631640165806545	0.020070418443176224	0.15337031205546395
Llgl1	8	-0.00032899164342838083	0.5715361319974057	0.6951904418376593
Lmf1	8	0.03935503039657069	0.03656990527665857	0.21680425563494332
Lyplal1	8	0.007458300507872703	0.9622941952405654	0.7896602776474994
Lyrm4_1	8	0.037409533026794846	0.09476630306428507	0.35385682495527543
Lyrm4_2	8	-0.010618342737671269	0.3041707923961571	0.5681374480648081
Map3k5	8	0.031353233871426064	0.12485570089664622	0.39688200311547367
Mast3_1	8	-0.00570664528036169	0.24480970067356	0.5256121874403754
Mast3_2	8	-0.0025147866367911925	0.5883538276247566	0.7027208326708754
Mau2	8	0.01705283650449947	0.5316069283697501	0.6798806367450015
Mboat7	8	-0.01521570922240399	0.15182172189202842	0.4326285733132445
Mbtps1	8	0.00911579500785884	0.8652072167503323	0.7735042965884631
Mertk	8	-0.00017881865508526934	0.6579687904816116	0.7252390325493796
Metap1	8	0.0276560014357154	0.1765327563054917	0.4594135275800153
Mlxipl_1	8	0.03841390201985863	0.023333327498740147	0.1681030461065443
Mlxipl_2	8	-0.022647357080146795	0.045242057406999686	0.242900254890633
Mon1a	8	-0.012519188882612232	0.2147342803059902	0.49550625535377585
Mst1	8	0.014550994552967244	0.6668200180834667	0.727813828615035
Mtarc1	8	0.0027173441992291744	0.6776686578949307	0.7295867198458741
Mtarc2	8	0.009140435535447314	0.9586617126913752	0.7888264216047068
Mtor	8	0.0037915696191234034	0.7869239089455036	0.756401635404852
Mttp	8	0.08574319126946242	6.479396192565128e-06	0.00023293624994691768
Myadm_1	8	0.011789968886732715	0.707961659205665	0.7392229158050162
Myadm_2	8	0.016619852288315855	0.5421034814060275	0.6847042543411388
Nampt	8	-0.0036792018926058764	0.4147239908862425	0.6305571738722584
Nars	8	0.004168485079581773	0.8597806963331458	0.7718172107909872
Nars2	8	0.0019557984026009056	0.7972625170742369	0.758454634662086
Ndufa13	8	0.007129153568159409	0.9510825761847603	0.787895738972188
Ndufa3	8	-0.0017187442701067077	0.6378074771736116	0.7184248789274275
Nectin2	8	0.029406250651080393	0.16229037984853578	0.44491001630898475
Nfe2l2	8	-0.002356003015207697	0.5482299923465388	0.6864545869778836
Nfib_1	8	0.004001181792977621	0.7753086659962802	0.7536637409065199
Nfib_2	8	-0.010583962596677647	0.21408685063728083	0.4949147609671885
Nfkb1	8	0.004449862311603	0.8394758530244909	0.7671402805011558
Ngly1	8	-0.010777941177034775	0.305618170772752	0.5694959607471107
Nlrp12_1	8	0.014300987000771608	0.7094230864503458	0.7395575766847173
Nlrp12_2	8	-0.05744980115273804	5.4026113791722614e-05	0.0015680591690243211
Non-Targeting	8	0.023605360310652974	0.002135275606016377	0.03349205403586192
Nr1h4_1	8	0.005180901758197243	0.8319429065669086	0.7662334959456079
Nr1h4_2	8	-0.017175454187133912	0.16883443207863508	0.4517935996151356
Nrbp1	8	0.00933650637883731	0.9575429868153937	0.7888264216047068
Nsmce2	8	0.016413920077459867	0.656173162920125	0.7246852469661055
Ntmt1	8	-0.008051556654246991	0.31081748112790536	0.5723576506275493
Parp16	8	-0.012814849748331228	0.2639665254171679	0.5401114011698135
Pcsk9	8	0.01334385435672124	0.666305001321526	0.727813828615035
Pde4c	8	0.011443683111307529	0.7616442176456968	0.7514018519941351
Pgpep1	8	-0.00659246586917554	0.4194795686426423	0.6329816233943786
Phrf1	8	-0.011009370183584492	0.2433167175998764	0.5249877131034199
Pik3ca	8	-0.01275785769597219	0.17510614769394103	0.4576377220786793
Pik3cb	8	-0.017649817108255184	0.10175506438655144	0.36347123506976503
Pik3r2	8	0.0022019163902400355	0.7557519149244178	0.749679969709365
Pklr_1	8	0.01719886001950199	0.3647774361204913	0.6042778329449162
Pklr_2	8	0.017248239862633144	0.5205113084988691	0.6757913627829155
Pnpla2	8	-0.006770757227296568	0.3397201904537367	0.5916805737478483
Pnpla3	8	-0.008021859707108598	0.32745722483129625	0.5844405066744656
Ppara_1	8	0.0075769733986796465	0.9779931949014664	0.7930296714483529
Ppara_2	8	0.012375208762192617	0.8066131044008447	0.760271455953227
Ppard_1	8	0.0158763954807095	0.5708377305589816	0.6948981240817055
Ppard_2	8	0.023862155863816025	0.41624619869127094	0.6315564212209571
Pparg_1	8	-0.031239846567111533	0.0046072426696169184	0.05847781486296543
Pparg_2	8	-0.004081369139016902	0.4471443978136564	0.645419368320064
Ppargc1a	8	0.0029342092830888984	0.8158717605558796	0.7630633318688784
Ppm1g	8	-0.01523638871420796	0.16169699437575139	0.44478992686080865
Ppp1r3b_1	8	-0.003402001087401427	0.5585617375678708	0.6902659209607797
Ppp1r3b_2	8	0.0009049930926743561	0.7564288422656071	0.7499361489737973
Ppp2r5a_1	8	-0.012010358365153581	0.1622739608538628	0.44491001630898475
Ppp2r5a_2	8	-0.005048412709517592	0.2750736960601444	0.5493879137552593
Prkaa2	8	0.0325860349291952	0.11145799871854328	0.37745671866548647
Prkca	8	0.009984384548844103	0.8554901758797941	0.7709931468020631
Psd3_1	8	0.015993867158701387	0.6129165493858721	0.7098514276021063
Psd3_2	8	-0.01660711549390156	0.10049480180088567	0.36238277011577075
Pten	8	0.021467379808695678	0.30605895577701536	0.5698138864278216
Ptges	8	0.009321211131992897	0.8933732588878132	0.7778498481103485
