target_name	program_name	log2FC	p-value	adj_pval
Hsd3b2	1	-0.09188927862601791	0.9531239601905972	0.9093340361851767
Hspa5	1	-0.16921164202493452	0.6571904002580989	0.846301951858368
Ift172	1	-0.005630540045744146	0.42186278275287975	0.7698252289118827
Igf1_1	1	-0.4492907574246091	0.04084243492503455	0.35750778920017
Igf1_2	1	-0.3071324952015413	0.3508086659893643	0.7336722270004478
Ikbkb	1	-0.11483026251981929	0.9661780583489333	0.9114037340987221
Ilrun	1	-0.06886181954814533	0.9773602290126658	0.9123567797464062
Insig1	1	-1.3896819466810948	5.33334239427013e-21	2.2129566151274422e-18
Insr	1	1.0980312707036808	7.193525869342506e-23	3.4822667279678376e-20
Ip6k1	1	-0.19390092114652752	0.44007334788579194	0.7771438536318167
Irs1	1	0.8530862518500232	9.786423467839402e-14	2.3994981570113046e-11
Irs2	1	-0.002435628819164203	0.41397494438564847	0.7662442542707836
Jund	1	-0.06017409257960284	0.6327858305386808	0.8381411399286436
Lcat	1	0.07221117941302295	0.07280868988807823	0.4520606777962401
Ldlr	1	-0.20996589791146703	0.5510979986539081	0.8189104209608037
Leng1	1	0.48655570600339815	1.8679120274655264e-08	1.9238835628206964e-06
Leng8	1	-0.10899314490980451	0.8993102027009343	0.900953529456653
Lipa	1	-0.11209773506323636	0.9555794439915082	0.9097351641442583
Llgl1	1	-0.2489436547509167	0.19224138804758456	0.6277999002887235
Lmf1	1	-0.09460441777190481	0.8047194627224525	0.8818034334400091
Lyplal1	1	-0.09524659282768062	0.9632044957408825	0.9107476762695293
Lyrm4_1	1	-0.1270307681111629	0.7980487804878049	0.8804060999585581
Lyrm4_2	1	-0.30776833144730215	0.13513762683750752	0.5594858588318237
Map3k5	1	-0.06320347071780784	0.7444254130165653	0.8668152965654056
Mast3_1	1	0.021685396160093445	0.23135494511011423	0.66416913682823
Mast3_2	1	-0.18775637778810655	0.6126817155482328	0.8344743835959476
Mau2	1	-0.04421953962177627	0.5772878587343289	0.8273198713344551
Mboat7	1	-0.14623102788354933	0.6570399557443767	0.846301951858368
Mbtps1	1	-0.18797789861342412	0.6071489108520899	0.8330950551553249
Mertk	1	-0.35135687295673484	0.11839669504308184	0.5380947950577533
Metap1	1	-0.14151104749046464	0.8320574889238819	0.8878153524150008
Mlxipl_1	1	0.6689059308533595	1.7760702383881185e-09	2.2045286810161314e-07
Mlxipl_2	1	0.21983617154350804	0.0037108806368567893	0.091032560143384
Mon1a	1	0.176696049312744	0.03884677989163377	0.3513189252577579
Mst1	1	-0.07546058524314857	0.7484089146533046	0.8679740292036726
Mtarc1	1	0.09635780087099545	0.10423494696411029	0.5156411431625064
Mtarc2	1	-0.1474212061914396	0.7981482879293449	0.880448993314402
Mtor	1	0.6859157971672664	5.089551158644912e-15	1.4214042798249597e-12
Mttp	1	0.3360527220252275	0.0018443176923435666	0.05477322991919744
Myadm_1	1	0.18743414953204612	0.022303110382678397	0.27104350626529466
Myadm_2	1	-0.06210661356495506	0.8652727000329955	0.8952430772897148
Nampt	1	0.10780790287778176	0.06017596356875721	0.4221869398022969
Nars	1	-0.18494107268967594	0.6434767236251052	0.8430214454406716
Nars2	1	0.11717598171237756	0.11071735234815944	0.5287960647079777
Ndufa13	1	-0.1842003785058811	0.4759534525316207	0.7902506736468954
Ndufa3	1	-0.021853331034623003	0.5534318322213927	0.8189790382192016
Nectin2	1	-0.03698347323092447	0.611761390488059	0.8344743835959476
Nfe2l2	1	0.44913745135417693	1.279385920694028e-05	0.0007839614353350776
Nfib_1	1	0.015432409120415755	0.15444835634132892	0.5886960406485956
Nfib_2	1	-0.10235443247494432	0.8651059427658419	0.8952133542960679
Nfkb1	1	-0.32402626147486924	0.06139304163247267	0.42638959267954696
Ngly1	1	-0.17016395047003624	0.7977587112087057	0.8802867082930955
Nlrp12_1	1	-0.14388801229571385	0.7970910195381834	0.8798842211524017
Nlrp12_2	1	0.12647658159174055	0.05150396441000088	0.39708565845901345
Non-Targeting	1	-0.20907781178592963	0.03215828730233522	0.3209401925692954
Nr1h4_1	1	-0.18653231311249846	0.5612732281439474	0.8214750639795946
Nr1h4_2	1	0.016011518082660357	0.25233335773112997	0.6795020822398509
Nrbp1	1	-0.11291445562351927	0.9535041443612771	0.9093340361851767
Nsmce2	1	-0.10481342432547926	0.8606353334971869	0.8942228089881106
Ntmt1	1	-0.10863749730551939	0.8946239103591604	0.9004532491277893
Parp16	1	0.016614430580287425	0.3054122661212648	0.7131935336608395
